,Image_ID,Split
61,1.2.276.0.7230010.3.1.4.8323329.12890.1517875242.395072,train
62,1.2.276.0.7230010.3.1.4.8323329.1042.1517875166.39303,train
63,1.2.276.0.7230010.3.1.4.8323329.1839.1517875169.871073,train
64,1.2.276.0.7230010.3.1.4.8323329.4166.1517875181.480675,train
65,1.2.276.0.7230010.3.1.4.8323329.13914.1517875248.626295,train
66,1.2.276.0.7230010.3.1.4.8323329.3378.1517875177.560006,train
67,1.2.276.0.7230010.3.1.4.8323329.10318.1517875223.123532,train
68,1.2.276.0.7230010.3.1.4.8323329.3713.1517875179.123371,train
69,1.2.276.0.7230010.3.1.4.8323329.2352.1517875172.307889,train
70,1.2.276.0.7230010.3.1.4.8323329.2452.1517875172.818545,train
71,1.2.276.0.7230010.3.1.4.8323329.11661.1517875234.195400,train
72,1.2.276.0.7230010.3.1.4.8323329.10711.1517875225.218406,train
73,1.2.276.0.7230010.3.1.4.8323329.2314.1517875172.124381,train
74,1.2.276.0.7230010.3.1.4.8323329.1463.1517875167.925674,train
75,1.2.276.0.7230010.3.1.4.8323329.32079.1517875158.329858,train
76,1.2.276.0.7230010.3.1.4.8323329.14594.1517875252.897511,train
77,1.2.276.0.7230010.3.1.4.8323329.11668.1517875234.227949,train
78,1.2.276.0.7230010.3.1.4.8323329.2051.1517875170.901686,train
79,1.2.276.0.7230010.3.1.4.8323329.11764.1517875234.663839,train
80,1.2.276.0.7230010.3.1.4.8323329.10411.1517875223.585461,train
81,1.2.276.0.7230010.3.1.4.8323329.1219.1517875166.835208,train
82,1.2.276.0.7230010.3.1.4.8323329.1467.1517875167.949678,train
83,1.2.276.0.7230010.3.1.4.8323329.32555.1517875161.168250,train
84,1.2.276.0.7230010.3.1.4.8323329.13722.1517875247.384355,train
85,1.2.276.0.7230010.3.1.4.8323329.10044.1517875221.721779,train
86,1.2.276.0.7230010.3.1.4.8323329.13592.1517875246.785837,train
87,1.2.276.0.7230010.3.1.4.8323329.5589.1517875188.912177,train
88,1.2.276.0.7230010.3.1.4.8323329.5660.1517875189.354560,train
89,1.2.276.0.7230010.3.1.4.8323329.10390.1517875223.490686,train
90,1.2.276.0.7230010.3.1.4.8323329.12782.1517875241.803603,train
91,1.2.276.0.7230010.3.1.4.8323329.5553.1517875188.778825,train
92,1.2.276.0.7230010.3.1.4.8323329.10160.1517875222.409275,train
93,1.2.276.0.7230010.3.1.4.8323329.12286.1517875238.386407,train
94,1.2.276.0.7230010.3.1.4.8323329.2287.1517875171.941412,train
95,1.2.276.0.7230010.3.1.4.8323329.10296.1517875223.33520,train
96,1.2.276.0.7230010.3.1.4.8323329.4596.1517875183.652556,train
97,1.2.276.0.7230010.3.1.4.8323329.31776.1517875156.793724,train
98,1.2.276.0.7230010.3.1.4.8323329.4384.1517875182.608894,train
99,1.2.276.0.7230010.3.1.4.8323329.1818.1517875169.722752,train
100,1.2.276.0.7230010.3.1.4.8323329.32420.1517875160.489377,train
101,1.2.276.0.7230010.3.1.4.8323329.1060.1517875166.102302,train
102,1.2.276.0.7230010.3.1.4.8323329.14393.1517875251.888293,train
103,1.2.276.0.7230010.3.1.4.8323329.2752.1517875174.512197,train
104,1.2.276.0.7230010.3.1.4.8323329.1619.1517875168.607812,train
105,1.2.276.0.7230010.3.1.4.8323329.3786.1517875179.414992,train
106,1.2.276.0.7230010.3.1.4.8323329.3132.1517875176.260069,train
107,1.2.276.0.7230010.3.1.4.8323329.3514.1517875178.176496,train
108,1.2.276.0.7230010.3.1.4.8323329.11393.1517875232.744519,train
109,1.2.276.0.7230010.3.1.4.8323329.5511.1517875188.605549,train
110,1.2.276.0.7230010.3.1.4.8323329.12081.1517875237.260260,train
111,1.2.276.0.7230010.3.1.4.8323329.10063.1517875221.813178,train
112,1.2.276.0.7230010.3.1.4.8323329.1710.1517875169.45651,train
113,1.2.276.0.7230010.3.1.4.8323329.3228.1517875176.751606,train
114,1.2.276.0.7230010.3.1.4.8323329.2900.1517875175.282013,train
115,1.2.276.0.7230010.3.1.4.8323329.4248.1517875181.884878,train
116,1.2.276.0.7230010.3.1.4.8323329.4901.1517875185.332642,train
117,1.2.276.0.7230010.3.1.4.8323329.32761.1517875162.229147,train
118,1.2.276.0.7230010.3.1.4.8323329.12002.1517875236.844860,train
119,1.2.276.0.7230010.3.1.4.8323329.13904.1517875248.586162,train
120,1.2.276.0.7230010.3.1.4.8323329.31766.1517875156.717754,train
121,1.2.276.0.7230010.3.1.4.8323329.11609.1517875233.898736,train
122,1.2.276.0.7230010.3.1.4.8323329.12200.1517875237.936349,train
123,1.2.276.0.7230010.3.1.4.8323329.3430.1517875177.809989,train
124,1.2.276.0.7230010.3.1.4.8323329.4077.1517875180.993479,train
125,1.2.276.0.7230010.3.1.4.8323329.32732.1517875162.44013,train
126,1.2.276.0.7230010.3.1.4.8323329.1158.1517875166.516788,train
127,1.2.276.0.7230010.3.1.4.8323329.459.1517875163.32759,train
128,1.2.276.0.7230010.3.1.4.8323329.11574.1517875233.671886,train
129,1.2.276.0.7230010.3.1.4.8323329.5449.1517875188.194740,train
130,1.2.276.0.7230010.3.1.4.8323329.4581.1517875183.607111,train
131,1.2.276.0.7230010.3.1.4.8323329.31686.1517875156.331009,train
132,1.2.276.0.7230010.3.1.4.8323329.12617.1517875240.150569,train
133,1.2.276.0.7230010.3.1.4.8323329.1198.1517875166.754999,train
134,1.2.276.0.7230010.3.1.4.8323329.2675.1517875173.998476,train
135,1.2.276.0.7230010.3.1.4.8323329.10954.1517875228.456083,train
136,1.2.276.0.7230010.3.1.4.8323329.539.1517875163.351603,train
137,1.2.276.0.7230010.3.1.4.8323329.10734.1517875225.372178,train
138,1.2.276.0.7230010.3.1.4.8323329.4295.1517875182.158775,train
139,1.2.276.0.7230010.3.1.4.8323329.475.1517875163.123986,train
140,1.2.276.0.7230010.3.1.4.8323329.11192.1517875231.643370,train
141,1.2.276.0.7230010.3.1.4.8323329.32597.1517875161.398361,train
142,1.2.276.0.7230010.3.1.4.8323329.12948.1517875242.677443,train
143,1.2.276.0.7230010.3.1.4.8323329.12900.1517875242.443426,train
144,1.2.276.0.7230010.3.1.4.8323329.1124.1517875166.400361,train
145,1.2.276.0.7230010.3.1.4.8323329.14106.1517875249.648711,train
146,1.2.276.0.7230010.3.1.4.8323329.10266.1517875222.906294,train
147,1.2.276.0.7230010.3.1.4.8323329.12071.1517875237.215572,train
148,1.2.276.0.7230010.3.1.4.8323329.4461.1517875182.971843,train
149,1.2.276.0.7230010.3.1.4.8323329.31898.1517875157.389439,train
150,1.2.276.0.7230010.3.1.4.8323329.32514.1517875160.961839,train
151,1.2.276.0.7230010.3.1.4.8323329.32310.1517875159.845412,train
152,1.2.276.0.7230010.3.1.4.8323329.10274.1517875222.943697,train
153,1.2.276.0.7230010.3.1.4.8323329.4299.1517875182.174176,train
154,1.2.276.0.7230010.3.1.4.8323329.10227.1517875222.722373,train
155,1.2.276.0.7230010.3.1.4.8323329.10944.1517875228.378826,train
156,1.2.276.0.7230010.3.1.4.8323329.2754.1517875174.495007,train
157,1.2.276.0.7230010.3.1.4.8323329.12506.1517875239.442539,train
158,1.2.276.0.7230010.3.1.4.8323329.1760.1517875169.291189,train
159,1.2.276.0.7230010.3.1.4.8323329.1643.1517875168.714981,train
160,1.2.276.0.7230010.3.1.4.8323329.2529.1517875173.221993,train
161,1.2.276.0.7230010.3.1.4.8323329.32736.1517875162.60364,train
162,1.2.276.0.7230010.3.1.4.8323329.5096.1517875186.389495,train
163,1.2.276.0.7230010.3.1.4.8323329.13359.1517875244.821620,train
164,1.2.276.0.7230010.3.1.4.8323329.4826.1517875185.8660,train
165,1.2.276.0.7230010.3.1.4.8323329.5277.1517875187.332439,train
166,1.2.276.0.7230010.3.1.4.8323329.5170.1517875186.784494,train
167,1.2.276.0.7230010.3.1.4.8323329.13024.1517875243.151731,train
168,1.2.276.0.7230010.3.1.4.8323329.2787.1517875174.741754,train
169,1.2.276.0.7230010.3.1.4.8323329.11702.1517875234.378095,train
170,1.2.276.0.7230010.3.1.4.8323329.3704.1517875179.76202,train
171,1.2.276.0.7230010.3.1.4.8323329.1635.1517875168.672171,train
172,1.2.276.0.7230010.3.1.4.8323329.32055.1517875158.218416,train
173,1.2.276.0.7230010.3.1.4.8323329.10176.1517875222.469649,train
174,1.2.276.0.7230010.3.1.4.8323329.12220.1517875238.33367,train
175,1.2.276.0.7230010.3.1.4.8323329.4323.1517875182.293555,train
176,1.2.276.0.7230010.3.1.4.8323329.32175.1517875158.879691,train
177,1.2.276.0.7230010.3.1.4.8323329.11417.1517875232.837282,train
178,1.2.276.0.7230010.3.1.4.8323329.13065.1517875243.383187,train
179,1.2.276.0.7230010.3.1.4.8323329.1136.1517875166.441388,train
180,1.2.276.0.7230010.3.1.4.8323329.32263.1517875159.293856,train
181,1.2.276.0.7230010.3.1.4.8323329.5736.1517875189.962744,train
182,1.2.276.0.7230010.3.1.4.8323329.12878.1517875242.320061,train
183,1.2.276.0.7230010.3.1.4.8323329.13237.1517875244.282346,train
184,1.2.276.0.7230010.3.1.4.8323329.2467.1517875172.904323,train
185,1.2.276.0.7230010.3.1.4.8323329.3370.1517875177.530072,train
186,1.2.276.0.7230010.3.1.4.8323329.4173.1517875181.522218,train
187,1.2.276.0.7230010.3.1.4.8323329.3452.1517875177.895133,train
188,1.2.276.0.7230010.3.1.4.8323329.10037.1517875221.677730,train
189,1.2.276.0.7230010.3.1.4.8323329.2761.1517875174.579862,train
190,1.2.276.0.7230010.3.1.4.8323329.10744.1517875225.423918,train
191,1.2.276.0.7230010.3.1.4.8323329.12383.1517875238.883049,train
192,1.2.276.0.7230010.3.1.4.8323329.12350.1517875238.718935,train
193,1.2.276.0.7230010.3.1.4.8323329.1314.1517875167.222290,train
194,1.2.276.0.7230010.3.1.4.8323329.14370.1517875251.791912,train
195,1.2.276.0.7230010.3.1.4.8323329.14160.1517875249.920428,train
196,1.2.276.0.7230010.3.1.4.8323329.12833.1517875242.76085,train
197,1.2.276.0.7230010.3.1.4.8323329.4000.1517875180.584919,train
198,1.2.276.0.7230010.3.1.4.8323329.3267.1517875176.976359,train
199,1.2.276.0.7230010.3.1.4.8323329.3434.1517875177.833261,train
200,1.2.276.0.7230010.3.1.4.8323329.3733.1517875179.193787,train
201,1.2.276.0.7230010.3.1.4.8323329.32315.1517875159.983781,train
202,1.2.276.0.7230010.3.1.4.8323329.10223.1517875222.698890,train
203,1.2.276.0.7230010.3.1.4.8323329.4973.1517875185.786978,train
204,1.2.276.0.7230010.3.1.4.8323329.2195.1517875171.595132,train
205,1.2.276.0.7230010.3.1.4.8323329.11514.1517875233.284248,train
206,1.2.276.0.7230010.3.1.4.8323329.3906.1517875180.66316,train
207,1.2.276.0.7230010.3.1.4.8323329.4130.1517875181.242085,train
208,1.2.276.0.7230010.3.1.4.8323329.31709.1517875156.417071,train
209,1.2.276.0.7230010.3.1.4.8323329.12061.1517875237.192989,train
210,1.2.276.0.7230010.3.1.4.8323329.2330.1517875172.213783,train
211,1.2.276.0.7230010.3.1.4.8323329.32435.1517875160.590585,train
212,1.2.276.0.7230010.3.1.4.8323329.1168.1517875166.599906,train
213,1.2.276.0.7230010.3.1.4.8323329.13837.1517875248.208063,train
214,1.2.276.0.7230010.3.1.4.8323329.10671.1517875224.985672,train
215,1.2.276.0.7230010.3.1.4.8323329.11834.1517875235.914766,train
216,1.2.276.0.7230010.3.1.4.8323329.4887.1517875185.266125,train
217,1.2.276.0.7230010.3.1.4.8323329.10784.1517875225.617068,train
218,1.2.276.0.7230010.3.1.4.8323329.10241.1517875222.767488,train
219,1.2.276.0.7230010.3.1.4.8323329.10165.1517875222.438188,train
220,1.2.276.0.7230010.3.1.4.8323329.32405.1517875160.453435,train
221,1.2.276.0.7230010.3.1.4.8323329.31798.1517875156.915474,train
222,1.2.276.0.7230010.3.1.4.8323329.3515.1517875178.184100,train
223,1.2.276.0.7230010.3.1.4.8323329.4963.1517875185.740966,train
224,1.2.276.0.7230010.3.1.4.8323329.10666.1517875224.962823,train
225,1.2.276.0.7230010.3.1.4.8323329.1976.1517875170.502492,train
226,1.2.276.0.7230010.3.1.4.8323329.5644.1517875189.278405,train
227,1.2.276.0.7230010.3.1.4.8323329.330.1517875162.413920,train
228,1.2.276.0.7230010.3.1.4.8323329.3883.1517875179.970146,train
229,1.2.276.0.7230010.3.1.4.8323329.3553.1517875178.385456,train
230,1.2.276.0.7230010.3.1.4.8323329.4904.1517875185.355709,train
231,1.2.276.0.7230010.3.1.4.8323329.32276.1517875159.330041,train
232,1.2.276.0.7230010.3.1.4.8323329.13998.1517875249.58755,train
233,1.2.276.0.7230010.3.1.4.8323329.4044.1517875180.836603,train
234,1.2.276.0.7230010.3.1.4.8323329.4352.1517875182.434551,train
235,1.2.276.0.7230010.3.1.4.8323329.2836.1517875174.995788,train
236,1.2.276.0.7230010.3.1.4.8323329.5780.1517875190.515264,train
237,1.2.276.0.7230010.3.1.4.8323329.11413.1517875232.826993,train
238,1.2.276.0.7230010.3.1.4.8323329.2886.1517875175.225303,train
239,1.2.276.0.7230010.3.1.4.8323329.4884.1517875185.252983,train
240,1.2.276.0.7230010.3.1.4.8323329.3418.1517875177.751935,train
241,1.2.276.0.7230010.3.1.4.8323329.5628.1517875189.189890,train
242,1.2.276.0.7230010.3.1.4.8323329.3698.1517875179.36045,train
243,1.2.276.0.7230010.3.1.4.8323329.5582.1517875188.893242,train
244,1.2.276.0.7230010.3.1.4.8323329.14196.1517875250.190439,train
245,1.2.276.0.7230010.3.1.4.8323329.4094.1517875181.100674,train
246,1.2.276.0.7230010.3.1.4.8323329.31847.1517875157.128821,train
247,1.2.276.0.7230010.3.1.4.8323329.3448.1517875177.889829,train
248,1.2.276.0.7230010.3.1.4.8323329.11257.1517875232.10570,train
249,1.2.276.0.7230010.3.1.4.8323329.5222.1517875187.61027,train
250,1.2.276.0.7230010.3.1.4.8323329.32546.1517875161.116417,train
251,1.2.276.0.7230010.3.1.4.8323329.3017.1517875175.684558,train
252,1.2.276.0.7230010.3.1.4.8323329.11220.1517875231.783758,train
253,1.2.276.0.7230010.3.1.4.8323329.10950.1517875228.436064,train
254,1.2.276.0.7230010.3.1.4.8323329.12500.1517875239.422462,train
255,1.2.276.0.7230010.3.1.4.8323329.13043.1517875243.251817,train
256,1.2.276.0.7230010.3.1.4.8323329.10204.1517875222.613636,train
257,1.2.276.0.7230010.3.1.4.8323329.503.1517875163.216019,train
258,1.2.276.0.7230010.3.1.4.8323329.13880.1517875248.462303,train
259,1.2.276.0.7230010.3.1.4.8323329.1559.1517875168.403745,train
260,1.2.276.0.7230010.3.1.4.8323329.11792.1517875234.860530,train
261,1.2.276.0.7230010.3.1.4.8323329.31738.1517875156.547988,train
262,1.2.276.0.7230010.3.1.4.8323329.5276.1517875187.310425,train
263,1.2.276.0.7230010.3.1.4.8323329.12305.1517875238.471535,train
264,1.2.276.0.7230010.3.1.4.8323329.1389.1517875167.508735,train
265,1.2.276.0.7230010.3.1.4.8323329.3244.1517875176.846610,train
266,1.2.276.0.7230010.3.1.4.8323329.1828.1517875169.776930,train
267,1.2.276.0.7230010.3.1.4.8323329.1520.1517875168.210173,train
268,1.2.276.0.7230010.3.1.4.8323329.32430.1517875160.547656,train
269,1.2.276.0.7230010.3.1.4.8323329.3417.1517875177.755442,train
270,1.2.276.0.7230010.3.1.4.8323329.2708.1517875174.155227,train
271,1.2.276.0.7230010.3.1.4.8323329.10580.1517875224.409132,train
272,1.2.276.0.7230010.3.1.4.8323329.12195.1517875237.907994,train
273,1.2.276.0.7230010.3.1.4.8323329.3542.1517875178.318145,train
274,1.2.276.0.7230010.3.1.4.8323329.13097.1517875243.573970,train
275,1.2.276.0.7230010.3.1.4.8323329.13218.1517875244.189414,train
276,1.2.276.0.7230010.3.1.4.8323329.12535.1517875239.599448,train
277,1.2.276.0.7230010.3.1.4.8323329.5738.1517875189.994590,train
278,1.2.276.0.7230010.3.1.4.8323329.11349.1517875232.520838,train
279,1.2.276.0.7230010.3.1.4.8323329.4744.1517875184.567670,train
280,1.2.276.0.7230010.3.1.4.8323329.10935.1517875228.159433,train
281,1.2.276.0.7230010.3.1.4.8323329.10866.1517875226.31656,train
282,1.2.276.0.7230010.3.1.4.8323329.4519.1517875183.276636,train
283,1.2.276.0.7230010.3.1.4.8323329.14330.1517875251.334650,train
284,1.2.276.0.7230010.3.1.4.8323329.10576.1517875224.381916,train
285,1.2.276.0.7230010.3.1.4.8323329.11723.1517875234.475730,train
286,1.2.276.0.7230010.3.1.4.8323329.12897.1517875242.426825,train
287,1.2.276.0.7230010.3.1.4.8323329.1273.1517875167.68057,train
288,1.2.276.0.7230010.3.1.4.8323329.1057.1517875166.87692,train
289,1.2.276.0.7230010.3.1.4.8323329.12569.1517875239.798473,train
290,1.2.276.0.7230010.3.1.4.8323329.11034.1517875230.12798,train
291,1.2.276.0.7230010.3.1.4.8323329.31929.1517875157.540018,train
292,1.2.276.0.7230010.3.1.4.8323329.31758.1517875156.654699,train
293,1.2.276.0.7230010.3.1.4.8323329.10349.1517875223.289849,train
294,1.2.276.0.7230010.3.1.4.8323329.12716.1517875241.293189,train
295,1.2.276.0.7230010.3.1.4.8323329.10279.1517875222.955294,train
296,1.2.276.0.7230010.3.1.4.8323329.5310.1517875187.546496,train
297,1.2.276.0.7230010.3.1.4.8323329.2123.1517875171.270461,train
298,1.2.276.0.7230010.3.1.4.8323329.369.1517875162.590965,train
299,1.2.276.0.7230010.3.1.4.8323329.3897.1517875180.24769,train
300,1.2.276.0.7230010.3.1.4.8323329.1583.1517875168.499993,train
301,1.2.276.0.7230010.3.1.4.8323329.11554.1517875233.580887,train
302,1.2.276.0.7230010.3.1.4.8323329.14015.1517875249.142866,train
303,1.2.276.0.7230010.3.1.4.8323329.1327.1517875167.260042,train
304,1.2.276.0.7230010.3.1.4.8323329.31780.1517875156.797287,train
305,1.2.276.0.7230010.3.1.4.8323329.32647.1517875161.607621,train
306,1.2.276.0.7230010.3.1.4.8323329.3288.1517875177.106544,train
307,1.2.276.0.7230010.3.1.4.8323329.32740.1517875162.113811,train
308,1.2.276.0.7230010.3.1.4.8323329.2780.1517875174.669852,train
309,1.2.276.0.7230010.3.1.4.8323329.4458.1517875182.952112,train
310,1.2.276.0.7230010.3.1.4.8323329.1699.1517875169.6097,train
311,1.2.276.0.7230010.3.1.4.8323329.14270.1517875250.506358,train
312,1.2.276.0.7230010.3.1.4.8323329.13015.1517875243.102225,train
313,1.2.276.0.7230010.3.1.4.8323329.2542.1517875173.291111,train
314,1.2.276.0.7230010.3.1.4.8323329.13225.1517875244.222612,train
315,1.2.276.0.7230010.3.1.4.8323329.31937.1517875157.569151,train
316,1.2.276.0.7230010.3.1.4.8323329.13405.1517875245.165869,train
317,1.2.276.0.7230010.3.1.4.8323329.11921.1517875236.474727,train
318,1.2.276.0.7230010.3.1.4.8323329.10862.1517875226.16660,train
319,1.2.276.0.7230010.3.1.4.8323329.1876.1517875170.19743,train
320,1.2.276.0.7230010.3.1.4.8323329.12785.1517875241.812213,train
321,1.2.276.0.7230010.3.1.4.8323329.13585.1517875246.737259,train
322,1.2.276.0.7230010.3.1.4.8323329.3939.1517875180.226049,train
323,1.2.276.0.7230010.3.1.4.8323329.12571.1517875239.805554,train
324,1.2.276.0.7230010.3.1.4.8323329.10288.1517875222.874,train
325,1.2.276.0.7230010.3.1.4.8323329.4906.1517875185.371222,train
326,1.2.276.0.7230010.3.1.4.8323329.5410.1517875187.977318,train
327,1.2.276.0.7230010.3.1.4.8323329.11077.1517875230.900554,train
328,1.2.276.0.7230010.3.1.4.8323329.10685.1517875225.68487,train
329,1.2.276.0.7230010.3.1.4.8323329.3922.1517875180.137157,train
330,1.2.276.0.7230010.3.1.4.8323329.1480.1517875168.5210,train
331,1.2.276.0.7230010.3.1.4.8323329.10730.1517875225.343511,train
332,1.2.276.0.7230010.3.1.4.8323329.1910.1517875170.206599,train
333,1.2.276.0.7230010.3.1.4.8323329.14400.1517875251.918427,train
334,1.2.276.0.7230010.3.1.4.8323329.14600.1517875252.965818,train
335,1.2.276.0.7230010.3.1.4.8323329.2860.1517875175.110329,train
336,1.2.276.0.7230010.3.1.4.8323329.4259.1517875181.981061,train
337,1.2.276.0.7230010.3.1.4.8323329.5594.1517875188.948557,train
338,1.2.276.0.7230010.3.1.4.8323329.13709.1517875247.318659,train
339,1.2.276.0.7230010.3.1.4.8323329.5141.1517875186.606117,train
340,1.2.276.0.7230010.3.1.4.8323329.13404.1517875245.162172,train
341,1.2.276.0.7230010.3.1.4.8323329.12105.1517875237.414582,train
342,1.2.276.0.7230010.3.1.4.8323329.11159.1517875231.454224,train
343,1.2.276.0.7230010.3.1.4.8323329.3387.1517875177.612668,train
344,1.2.276.0.7230010.3.1.4.8323329.4643.1517875183.951741,train
345,1.2.276.0.7230010.3.1.4.8323329.5599.1517875188.965681,train
346,1.2.276.0.7230010.3.1.4.8323329.32339.1517875160.124227,train
347,1.2.276.0.7230010.3.1.4.8323329.327.1517875162.393558,train
348,1.2.276.0.7230010.3.1.4.8323329.2059.1517875170.952592,train
349,1.2.276.0.7230010.3.1.4.8323329.14031.1517875249.233468,train
350,1.2.276.0.7230010.3.1.4.8323329.2915.1517875175.363370,train
351,1.2.276.0.7230010.3.1.4.8323329.2863.1517875175.129359,train
352,1.2.276.0.7230010.3.1.4.8323329.1475.1517875167.980123,train
353,1.2.276.0.7230010.3.1.4.8323329.3310.1517875177.193004,train
354,1.2.276.0.7230010.3.1.4.8323329.5041.1517875186.100484,train
355,1.2.276.0.7230010.3.1.4.8323329.12028.1517875236.988922,train
356,1.2.276.0.7230010.3.1.4.8323329.13209.1517875244.146510,train
357,1.2.276.0.7230010.3.1.4.8323329.11995.1517875236.819121,train
358,1.2.276.0.7230010.3.1.4.8323329.14133.1517875249.781331,train
359,1.2.276.0.7230010.3.1.4.8323329.10062.1517875221.809128,train
360,1.2.276.0.7230010.3.1.4.8323329.3478.1517875178.16793,train
361,1.2.276.0.7230010.3.1.4.8323329.12938.1517875242.614757,train
362,1.2.276.0.7230010.3.1.4.8323329.11469.1517875233.87490,train
363,1.2.276.0.7230010.3.1.4.8323329.5474.1517875188.361438,train
364,1.2.276.0.7230010.3.1.4.8323329.2762.1517875174.578754,train
365,1.2.276.0.7230010.3.1.4.8323329.13861.1517875248.361182,train
366,1.2.276.0.7230010.3.1.4.8323329.538.1517875163.339559,train
367,1.2.276.0.7230010.3.1.4.8323329.2437.1517875172.726797,train
368,1.2.276.0.7230010.3.1.4.8323329.1074.1517875166.199707,train
369,1.2.276.0.7230010.3.1.4.8323329.3684.1517875178.973682,train
370,1.2.276.0.7230010.3.1.4.8323329.5321.1517875187.612843,train
371,1.2.276.0.7230010.3.1.4.8323329.10408.1517875223.570007,train
372,1.2.276.0.7230010.3.1.4.8323329.32377.1517875160.282074,train
373,1.2.276.0.7230010.3.1.4.8323329.10398.1517875223.525354,train
374,1.2.276.0.7230010.3.1.4.8323329.4228.1517875181.822090,train
375,1.2.276.0.7230010.3.1.4.8323329.13087.1517875243.526441,train
376,1.2.276.0.7230010.3.1.4.8323329.13306.1517875244.594024,train
377,1.2.276.0.7230010.3.1.4.8323329.5261.1517875187.228543,train
